associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	CycloHaplotypeDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
SRSF6	Patient16	93	54	66666.66666666667	42486.231313926044	1395	1271	37	30	26	21	17	16	22.0	22.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	0.07142857142857142	1.1574569884456356	0.04128476798086017						
SRSF6	Patient17	56	25	57435.89743589744	20374.89812550937	975	1227	19	25	12	9	6	10	25.0	27.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	0.35135135135135137	5.20945336562895	2.7297789264723775	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient18	157	82	158906.8825910931	59120.403749098776	988	1387	58	51	48	24	32	26	13.0	17.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	0.030303030303030304	0.5683339079120854	-0.4049051252051836						
SRSF6	Patient19	74	31	60211.55410903173	20025.83979328165	1229	1548	21	34	19	12	11	8	23.0	28.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	0.2830188679245283	4.624464772146028	2.344008665121025						
SRSF6	Patient2	88	62	68911.51135473767	57142.857142857145	1277	1085	30	21	37	23	23	16	21.0	18.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	-0.27586206896551724	4.618993966511345	2.340400946709067	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient20	54	81	28601.694915254237	46605.29344073648	1888	1738	15	16	23	27	25	29	29.0	21.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	-0.1794871794871795	2.6294858040502676	1.0284213759216507	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient21	334	122	235709.24488355682	91867.46987951807	1417	1328	113	111	110	37	41	44	4.0	12.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	0.004524886877828055	0.10076810506053209	-0.713241020937934						
SRSF6	Patient22	58	43	47502.047502047506	20417.853751187085	1221	2106	22	21	15	11	17	15	27.0	26.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	0.16666666666666666	2.3752270116460728	0.8607506180823205						
SRSF6	Patient23	27	18	40601.503759398496	15530.629853321829	665	1159	6	9	12	7	6	5	28.0	30.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	-0.14285714285714285	1.6625431975416274	0.39077184534924725						
SRSF6	Patient24	27	41	25495.7507082153	24683.925346177002	1059	1661	9	10	8	14	13	14	30.0	25.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	0.1111111111111111	1.2072208811243568	0.09050990697946702						
SRSF6	Patient25	341	346	248542.2740524781	177800.61664953752	1372	1946	108	125	108	114	115	117	3.0	6.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	0.07296137339055794	1.6443667103855297	0.37878537539278306						
SRSF6	Patient26	668	201	395266.2721893491	136827.7739959156	1690	1469	241	219	208	64	65	72	1.0	10.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	0.02576112412177986	0.6466239079212815	-0.35327684714778135						
SRSF6	Patient27	92	45	100327.15376226827	31271.716469770672	917	1439	24	31	37	15	12	18	20.0	23.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	-0.08823529411764706	1.509249525411421	0.2896824555389405						
SRSF6	Patient28	299	165	202987.10115410725	137271.2146422629	1473	1202	101	95	103	62	47	56	8.0	9.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	-0.04040404040404041	0.8810168731911604	-0.19870659316603542						
SRSF6	Patient29	61	35	58429.11877394636	18847.60366182014	1044	1857	21	20	20	13	9	13	24.0	29.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	0.0	0.0	-0.7796924674415945						
SRSF6	Patient3	371	172	186713.63865123302	85190.68845963349	1987	2019	132	118	121	59	57	56	9.0	13.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	-0.012552301255230125	0.2837957719876774	-0.5925435719763512						
